lat,lng,count
15.44,75.01,138
16.83,75.7,137
12.5,76.67,137
15.15,76.92,136
12.86,77.59,136
13.0,77.71,136
13.66,77.21,136
17.91,77.53,136
15.47,74.99,136
15.75,76.19,136
12.31,76.69,136
16.81,75.72,136
13.39,77.87,135
12.99,74.8,135
12.32,76.68,135
13.03,77.72,134
12.8,77.69,134
12.95,77.7,133
13.14,75.64,133
12.33,76.65,133
13.94,75.57,133
15.89,74.52,132
12.96,77.5,132
13.02,77.63,132
12.84,77.58,132
12.96,77.74,132
12.86,77.79,132
13.92,75.56,132
13.02,77.62,131
12.91,77.7,131
12.88,77.56,130
13.0,76.1,130
12.2,75.8,130
13.16,76.67,130
12.97,77.7,129
12.99,77.45,129
17.92,77.51,129
13.13,75.64,129
15.33,75.14,129
12.95,78.27,129
13.34,74.74,129
14.61,74.84,129
15.87,74.53,128
15.97,75.02,128
12.93,77.67,128
12.71,77.69,128
17.36,76.82,128
17.36,76.85,128
12.35,76.66,128
12.9,77.55,127
12.96,77.72,127
13.03,77.55,127
12.33,76.67,127
12.81,77.7,127
15.72,75.39,127
15.33,75.12,127
12.94,77.49,126
13.0,77.59,126
14.35,75.74,126
16.24,74.76,125
12.57,77.39,125
13.02,77.68,125
12.98,77.76,125
13.3,77.8,125
15.23,75.58,125
16.75,77.13,125
12.3,76.66,125
13.31,76.94,125
16.43,74.59,124
12.96,77.63,124
13.11,77.38,124
13.41,78.03,124
13.31,75.78,124
15.37,75.15,124
17.35,76.81,124
12.34,76.66,124
15.47,75.02,123
13.58,76.54,123
15.45,74.99,123
16.2,77.34,123
16.34,76.13,123
13.1,77.63,122
12.85,77.66,122
13.0,77.51,122
17.35,76.83,122
12.86,74.85,122
15.84,74.5,121
12.97,77.68,121
13.13,77.36,121
12.57,77.32,121
17.37,76.83,121
16.19,75.7,120
16.34,74.97,120
12.84,77.69,120
13.71,75.81,120
15.12,75.47,120
12.93,78.27,120
15.76,76.19,120
16.22,77.36,120
17.18,75.95,120
12.95,77.64,119
13.01,77.62,119
12.87,77.66,119
17.77,77.12,119
11.92,76.94,119
13.55,76.01,119
15.42,75.64,119
17.33,76.81,119
13.99,74.55,119
15.95,75.3,118
12.79,77.75,118
13.31,75.77,118
15.38,75.12,118
12.33,76.69,118
15.77,75.12,117
13.09,77.39,117
13.78,77.8,117
16.72,75.06,116
13.01,77.68,116
16.83,75.74,116
12.87,74.83,116
13.32,77.09,116
16.34,75.28,115
15.81,74.85,115
13.04,77.53,115
12.79,77.71,115
15.61,76.66,115
16.2,77.35,115
15.83,74.52,114
12.88,74.87,114
12.99,77.76,114
12.89,74.83,114
12.32,76.62,114
16.82,75.71,114
13.09,77.55,113
12.15,77.1,113
12.83,77.69,113
13.08,77.8,113
11.81,76.69,113
13.31,76.95,113
15.33,74.77,113
15.33,74.76,113
13.06,77.51,112
12.93,77.53,112
12.79,77.73,112
13.0,77.72,112
12.88,77.45,112
15.42,75.62,112
16.8,75.72,112
16.91,76.23,112
