review_month,section,category,subtype,row_type,ytd,same_month_prev_year,prev_month,current_month,yoy_change,yoy_pct,mom_change,mom_pct,spike_score,trend
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Caste,subtype,5,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Agrarian,subtype,2,0,1,1,1,,0,0.0,0.0,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Others,subtype,2298,177,159,183,6,3.4,24,15.1,0.18,rising
2025-12,IPC,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158 BNS)",NA,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",NA,subtype,192,10,13,10,0,0.0,-3,-23.1,-0.23,falling
2025-12,IPC,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),NA,subtype,762,56,74,75,19,33.9,1,1.4,0.35,rising
2025-12,IPC,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",NA,subtype,5839,554,479,632,78,14.1,153,31.9,0.46,rising
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)","Stock Share, Debentrue Certificate",subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Usage of Counterfeit Stamp,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Coins (Sec 231 to 254 IPC),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Stamps (Sec.255 to 263(A) IPC),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),subtype,30,1,1,2,1,100.0,1,100.0,2.0,rising
2025-12,IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Others,subtype,1,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343, 344 BNS)",Forgery,subtype,466,41,41,52,11,26.8,11,26.8,0.54,rising
2025-12,IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343, 344 BNS)",Organised (Racket),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343, 344 BNS)",Forgery of Passport,subtype,1,1,0,1,0,0.0,1,,0.0,rising
2025-12,IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343, 344 BNS)",Other Forgery,subtype,149,11,8,11,0,0.0,3,37.5,0.38,rising
2025-12,IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Acid Attack (326(a)),subtype,2,0,1,0,0,,-1,-100.0,-1.0,falling
2025-12,IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Attempt to Acid Attack (326(b)),subtype,6,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Grievous Hurt,subtype,1190,107,84,91,-16,-15.0,7,8.3,-0.07,falling
2025-12,IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Simple Hurt,subtype,15513,1219,1233,1383,164,13.5,150,12.2,0.26,rising
2025-12,IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Custodial,subtype,2,1,0,0,-1,-100.0,0,,-1.0,falling
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Attempt to Commit,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Alcoholic Drink (Liquor),subtype,5,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Cement & Chemical/Fertiliser,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Cosmetics,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Diesel,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Drug/Medicine,subtype,6,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Edible Oil,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Food Grain,subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Kerosene,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Life Saving Drug,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Mobile Oil,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Petrol,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Petroleum Product,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Soft Drinks,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Spices,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Others,subtype,7,0,0,0,0,,0,,0.0,stable
2025-12,IPC,AFFRAY (Sec. 160 IPC/194(2) BNS),NA,subtype,686,35,44,39,4,11.4,-5,-11.4,0.0,falling
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Agricultural Produce,subtype,43,4,2,9,5,125.0,7,350.0,4.25,rising
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Attemp to Commit,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Boat / Ship,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Dwelling House,subtype,18,0,1,0,0,,-1,-100.0,-1.0,falling
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Educational Institution,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Govt. Property,subtype,4,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Industrial Establishment,subtype,0,0,0,0,0,,0,,0.0,stable
