Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
90,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Parents,2,0,0,0,,,,,,
91,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Hospital Staff,2,0,0,1,,,,,,
92,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Husband During Sepearation,2,1,1,0,,,,,,
93,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Neighbours,20,0,4,0,,,,,,
94,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Relatives,17,2,3,2,,,,,,
95,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Jail Custody,0,0,0,0,,,,,,
96,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",In Remand Home,0,0,0,0,,,,,,
97,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",InCest,0,0,0,0,,,,,,
98,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Known Person,196,41,30,29,,,,,,
99,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Unknown Person,11,1,5,4,,,,,,
100,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Due to Other Causes,217,17,44,41,,,,,,
101,A - IPC/BNS Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",On Minor,0,0,0,0,,,,,,
102,A - IPC/BNS Crime,Sexual Intercourse by employing deceitful means (Sec 69 BNS),False promises of marriage,80,0,21,22,,,,,,
103,A - IPC/BNS Crime,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Falsely claiming a job promotion or employment ,1,0,1,0,,,,,,
104,A - IPC/BNS Crime,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Suppressing identity to induce marriage,0,0,0,0,,,,,,
105,A - IPC/BNS Crime,Sexual Intercourse by employing deceitful means (Sec 69 BNS),Other,4,0,0,2,,,,,,
106,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Missing - Boy,472,72,82,88,,,,,,
107,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Missing - Girl,1454,231,250,290,,,,,,
108,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Children,5,3,1,1,,,,,,
109,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Cildren for Begging,0,0,0,0,,,,,,
110,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Women,5,1,2,1,,,,,,
111,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of Girls for Immoral Purpose,0,0,0,0,,,,,,
112,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",For Ransom - of  Others,27,7,5,1,,,,,,
113,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - For Prostitution,0,0,0,0,,,,,,
114,A - IPC/BNS Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",Procuration of Minor Girls - Importring of Girl,0,0,0,0,,,,,,
