SL NO,HEADS CRIME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
386,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Fatal,0,0,0,0
387,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Non Fatal,1,1,1,1
388,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Advertisement,0,0,0,0
389,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Audio Tape,0,0,0,0
390,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Book,0,0,0,0
391,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Computer Software,0,0,0,0
392,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Figures,0,0,0,0
393,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Film (Blue),0,0,0,0
394,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Painting,0,0,0,0
395,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Pamphlet,0,0,0,0
396,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Paper,0,0,0,0
397,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Photography,0,0,0,0
398,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Poster,0,0,0,0
399,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Video Film(Blue),0,0,0,0
400,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Others,1,0,0,1
401,A - IPC Crime,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),NA,1,1,0,1
402,A - IPC Crime,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",NA,7,9,13,7
403,A - IPC Crime,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",NA,203,265,242,203
404,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Attempt to Commit,4,1,0,4
405,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Defence Personnel,0,0,1,0
406,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Jail Personnel,2,1,0,2
407,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Judicial Official,3,2,4,3
408,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Minister,0,0,0,0
409,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MLA,0,0,0,0
410,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MP,0,0,0,0
411,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Nationalised Bank Personnel,0,0,0,0
412,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Elected Member,1,0,0,1
413,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Enforcement Official,0,1,0,0
414,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Govt. Official,42,33,39,42
415,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Para Military Personnel,0,0,0,0
416,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Police Personnel,37,34,29,37
417,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Public Sector Undertaking Official,12,12,16,12
418,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Defence Personnel,0,0,0,0
419,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Jail Personnel,0,0,0,0
420,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Judicial Official,0,0,0,0
421,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Minister,0,0,0,0
422,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MLA,0,0,0,0
423,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MP,0,0,0,0
424,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Nationalised Bank Personnel,0,0,0,0
425,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Elected Member,0,0,0,0
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Enforcement Official,0,0,0,0
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Govt. Official,0,0,0,0
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Para Military Personnel,0,0,0,0
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Police Personnel,0,1,0,0
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Public Sector Undertaking Official,1,0,0,1
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Others,0,0,0,0
432,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Death Causeed By Electric Shock,3,4,9,3
433,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Animal -Related,2,11,6,2
434,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Boat/Vessel - Related,0,1,0,0
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Explosive/Explosive Substances - Related,3,7,5,3
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Inflammable Substance- Related ,1,2,2,1
437,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Machinery - Related,15,6,14,15
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Poisonous Substance - Related,3,1,1,3
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Other - Related,101,77,158,101
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Human - Related,93,57,115,93
441,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),NA,1,0,0,1
442,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),Attempt to Commit,0,0,0,0
443,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By Foreigner,0,0,0,0
444,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National,0,0,0,0
445,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National And Foreigner,0,0,0,0
446,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Attempt to Commit,0,0,0,0
447,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Office,1,1,2,1
448,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Conveyance,0,0,0,0
449,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Place,9,0,9,9
450,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Other Places,23,5,9,23
451,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Dowry,0,1,0,0
452,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Abetment of Suicide,35,19,35,35
453,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Other Reasons,28,23,24,28
454,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Attempt to Commit suicide,9,12,6,9
455,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Abetment  ,0,0,0,0
456,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Animal  ,0,0,0,0
457,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Attempt,0,0,0,0
458,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Man,0,0,1,0
459,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Woman,0,0,0,0
460,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Boy,0,0,0,0
461,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Girl,0,0,0,0
462,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Attempt to Commit,2,1,1,2
463,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Confession,0,1,0,0
464,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Property,1,1,2,1
465,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To settle Dispute,1,0,0,1
466,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Others,36,23,38,36
467,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Male,1,0,0,1
468,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Female,0,0,0,0
469,A - IPC Crime,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",NA,4,4,5,4
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",NA,0,0,0,0
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Documents  ,0,0,0,0
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Property  ,0,0,0,0
473,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Persons ,0,2,0,0
474,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Printed Matter,0,2,1,0
475,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Others,0,0,0,0
476,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Assembly,0,0,0,0
477,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Parliament,0,0,0,0
478,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Other Elected Bodies,0,0,1,0
479,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Man,0,0,0,0
480,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Woman,0,0,0,0
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Boy,0,0,0,0
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Girl,0,0,0,0
483,A - IPC Crime,Attempting to commit offences (Sec.511 IPC/62 BNS),Attempting to commit offences,14,18,18,14
484,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),NA,0,0,0,0
485,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),NA,1,0,1,1
486,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Boy ,2,4,1,2
487,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Girl,3,1,8,3
488,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),NA,2,0,0,2
489,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 174 A/BNS 209,16,9,19,16
490,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 229 A/BNS 269,83,30,175,83
491,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,0,0,4,0
492,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,3,3,4,3
493,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,1,1,3,1
494,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,0,0,0,0
495,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,1,0,1,1
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,2,0,0,2
497,A - IPC Crime,Human Trafficking,Eunuch,0,1,1,0
498,A - IPC Crime,Human Trafficking,Men,0,0,0,0
499,A - IPC Crime,Human Trafficking,Boy,2,1,0,2
500,A - IPC Crime,Human Trafficking,Women,1,0,0,1
501,A - IPC Crime,Human Trafficking,Girl,0,0,0,0
502,A - IPC Crime,Aadhaar Act,Impersonation,0,0,0,0
503,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0
504,A - IPC Crime,Aadhaar Act,Offence by individual,0,0,0,0
505,A - IPC Crime,Giving false information respecting an offence committed,Giving false information respecting an offence committed,0,0,0,0
506,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0
507,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,3,0,5,3
508,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,1,1,1,1
509,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,14,7,8,14
510,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,0,0,0,0
511,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,8,5,3,8
512,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,1,0,0,1
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,3,7,1,3
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,1,0,1,1
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,7,3,3,7
516,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,8,11,9,8
517,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
518,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,2,1,0,2
519,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,21,9,23,21
520,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
521,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,0,0,1,0
522,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0
523,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,13,11,4,13
525,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,0,0,0,0
526,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,25,35,17,25
527,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,1,0,0,1
528,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
529,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,20,13,9,20
530,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,9,12,5,9
531,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,0,0,1,0
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,109,121,107,109
533,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,14,25,14,14
534,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,42,43,40,42
535,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,7,11,11,7
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,10,13,3,10
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,11,8,10,11
538,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,12,9,13,12
539,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,0,0,0
540,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,7,2,4,7
552,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,4,8,2,4
553,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,3,0,3,3
558,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
559,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,0,0,0,0
560,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,2,0,0,2
561,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
564,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
565,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,15,22,10,15
566,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,15,10,9,15
567,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,1,0,0,1
568,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,7,1,2,7
569,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,184,87,212,184
570,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,244,195,439,244
571,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,PASSPORT ACT,,,,
572,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Foreigner,0,0,0,0
573,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Indian,0,0,1,0
574,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,0,0,0
575,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0
576,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,0,0,0,0
577,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),494,466,1039,494
578,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),481,481,486,481
579,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),21,13,20,21
580,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,22,12,16,22
581,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,64,56,23,64
582,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,7,11,9,7
583,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,0,0,0,0
584,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
585,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
586,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
587,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,0,0,0,0
588,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
589,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,0,0,0,0
590,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,119,223,151,119
591,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
592,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0
593,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
594,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,1,0,1,1
