Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Electoral Gain,0,0,0,0,,,,,,
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Gang Rivalry,0,0,0,0,,,,,,
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Love Intrigue,0,0,0,0,,,,,,
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Professional ,0,0,0,0,,,,,,
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Sudden Quarrel,4,1,1,1,,,,,,
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Custodial Rape,0,0,0,0,,,,,,
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",Attempt to Commit,7,1,0,2,,,,,,
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By a Gang,7,2,2,2,,,,,,
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Parents,2,0,0,0,,,,,,
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Hospital Staff,1,1,0,0,,,,,,
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Husband During Sepearation,2,1,0,1,,,,,,
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Neighbours,19,5,3,4,,,,,,
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",By Relatives,16,2,4,5,,,,,,
