Sl. No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
338,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Bridge/Dam Collapse,0,0,0,0
339,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Building Collapse,1,0,0,1
340,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Caused By Animal,1,0,6,1
341,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Death Due to Other Cause,22,7,4,6
342,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Electrocution Accident,10,2,0,3
343,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Explosion Accident,0,1,0,0
344,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Fire accident,0,0,0,0
345,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Gas Leakage Accident,0,1,7,0
346,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Improper Infrastucture In Construction,24,5,3,5
347,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Improper Medical Treatment,3,0,0,0
348,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Custody of Public Servant,0,0,0,0
349,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Jail/Judicial Custody,0,0,0,0
350,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Police Custody,0,0,0,0
351,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Industrial Accident (Factory),1,0,0,1
352,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Inflammable Substance,0,0,0,0
353,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Mine Accident,1,0,0,0
354,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Poisonous Substance,0,0,0,0
355,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Quarry Accident,0,0,0,0
356,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Spurious Liquor (Hooch) Accident,0,0,0,0
357,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Railway Accident,0,0,0,0
358,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Others,26,6,10,8
